category,brand,caffeine_per_100ml
Tea,Dwarkesh,37.86
Tea,Girnar,25
Tea,Lipton,23.25
Tea,Red Label,48
Tea,Taj,58.8
Tea,Tata,37
Tea,Tetley,33
Tea,Tulsi,0
Tea,Waghbakri,20
Coffee,Amul,70
Coffee,Nescafe,60
Coffee,Bru,80
Coffee,Davidoff,57
Coffee,Ajay,38
Coffee,MSU Nescafe,24.08
Coffee,Continental,62
Coffee,Starbucks,73
Coffee,Sunrise,90
Coffee,Others (Regular),75
Energy Drink,Red Bull,30
Energy Drink,Monster,36
Energy Drink,Mountain Dew,54
Energy Drink,Coca-Cola,38
Energy Drink,Sting,29
Energy Drink,Others,31
